Name,Rating,Year,Duration,Reviews
1. The Shawshank Redemption,9.3,1994,2h 22m, (3.1M)
2. The Godfather,9.2,1972,2h 55m, (2.2M)
3. The Dark Knight,9.1,2008,2h 32m, (3.1M)
4. The Godfather Part II,9.0,1974,3h 22m, (1.5M)
5. 12 Angry Men,9.0,1957,1h 36m, (949K)
6. The Lord of the Rings: The Return of the King,9.0,2003,3h 21m, (2.1M)
7. Schindler's List,9.0,1993,3h 15m, (1.5M)
8. The Lord of the Rings: The Fellowship of the Ring,8.9,2001,2h 58m, (2.1M)
9. Pulp Fiction,8.8,1994,2h 34m, (2.4M)
"10. The Good, the Bad and the Ugly",8.8,1966,2h 58m, (869K)
11. Forrest Gump,8.8,1994,2h 22m, (2.4M)
12. The Lord of the Rings: The Two Towers,8.8,2002,2h 59m, (1.9M)
13. Fight Club,8.8,1999,2h 19m, (2.5M)
14. Inception,8.8,2010,2h 28m, (2.7M)
15. Star Wars: Episode V - The Empire Strikes Back,8.7,1980,2h 4m, (1.5M)
16. The Matrix,8.7,1999,2h 16m, (2.2M)
17. Goodfellas,8.7,1990,2h 25m, (1.4M)
18. Interstellar,8.7,2014,2h 49m, (2.4M)
19. One Flew Over the Cuckoo's Nest,8.7,1975,2h 13m, (1.1M)
20. Se7en,8.6,1995,2h 7m, (2M)
21. It's a Wonderful Life,8.6,1946,2h 10m, (535K)
22. The Silence of the Lambs,8.6,1991,1h 58m, (1.7M)
23. Seven Samurai,8.6,1954,3h 27m, (391K)
24. Saving Private Ryan,8.6,1998,2h 49m, (1.6M)
25. The Green Mile,8.6,1999,3h 9m, (1.5M)
26. City of God,8.6,2002,2h 10m, (850K)
27. Life Is Beautiful,8.6,1997,1h 56m, (791K)
28. Terminator 2: Judgment Day,8.6,1991,2h 17m, (1.3M)
29. Star Wars: Episode IV - A New Hope,8.6,1977,2h 1m, (1.5M)
30. Back to the Future,8.5,1985,1h 56m, (1.4M)
31. Spirited Away,8.6,2001,2h 4m, (932K)
32. The Pianist,8.5,2002,2h 30m, (985K)
33. Gladiator,8.5,2000,2h 35m, (1.8M)
34. Parasite,8.5,2019,2h 12m, (1.1M)
35. Psycho,8.5,1960,1h 49m, (764K)
36. The Lion King,8.5,1994,1h 28m, (1.2M)
37. Grave of the Fireflies,8.5,1988,1h 28m, (363K)
38. The Departed,8.5,2006,2h 31m, (1.5M)
39. Whiplash,8.5,2014,1h 46m, (1.1M)
40. Harakiri,8.6,1962,2h 13m, (83K)
41. The Prestige,8.5,2006,2h 10m, (1.5M)
42. American History X,8.5,1998,1h 59m, (1.2M)
43. Léon: The Professional,8.5,1994,1h 50m, (1.3M)
44. Spider-Man: Across the Spider-Verse,8.5,2023,2h 20m, (482K)
45. Casablanca,8.5,1942,1h 42m, (641K)
46. Cinema Paradiso,8.5,1988,2h 54m, (307K)
47. The Intouchables,8.5,2011,1h 52m, (995K)
48. The Usual Suspects,8.5,1995,1h 46m, (1.2M)
49. Alien,8.5,1979,1h 57m, (1M)
50. Modern Times,8.5,1936,1h 27m, (277K)
51. Rear Window,8.5,1954,1h 52m, (555K)
52. Django Unchained,8.5,2012,2h 45m, (1.8M)
53. Once Upon a Time in the West,8.5,1968,2h 46m, (374K)
54. City Lights,8.5,1931,1h 27m, (210K)
55. Apocalypse Now,8.4,1979,2h 27m, (752K)
56. WALL·E,8.4,2008,1h 38m, (1.3M)
57. Memento,8.4,2000,1h 53m, (1.4M)
58. Dune: Part Two,8.5,2024,2h 46m, (668K)
59. Raiders of the Lost Ark,8.4,1981,1h 55m, (1.1M)
60. Avengers: Infinity War,8.4,2018,2h 29m, (1.3M)
61. The Lives of Others,8.4,2006,2h 17m, (433K)
62. Sunset Boulevard,8.4,1950,1h 50m, (253K)
63. Spider-Man: Into the Spider-Verse,8.4,2018,1h 57m, (753K)
64. Witness for the Prosecution,8.4,1957,1h 56m, (154K)
65. Paths of Glory,8.4,1957,1h 28m, (231K)
66. The Shining,8.4,1980,2h 26m, (1.2M)
67. The Great Dictator,8.4,1940,2h 5m, (252K)
68. Inglourious Basterds,8.4,2009,2h 33m, (1.7M)
69. 12th Fail,8.7,2023,2h 27m, (157K)
70. Aliens,8.4,1986,2h 17m, (821K)
71. The Dark Knight Rises,8.4,2012,2h 44m, (1.9M)
72. Coco,8.4,2017,1h 45m, (670K)
73. Amadeus,8.4,1984,2h 40m, (455K)
